taxid;name;rank
1;root;root
10239;Viruses;superkingdom
131567;cellular organisms;species
1458186;Alphasatellitidae;family
2559587;Riboviria;species
2731342;Monodnaviria;species
2840056;Naldaviricetes;class
1993640;Tolecusatellitidae;family
2732004;Varidnaviria;species
10474;Fuselloviridae;family
687329;Anelloviridae;family
185752;Avsunviroidae;family
10482;Polydnaviridae;family
185751;Pospiviroidae;family
423358;Bicaudaviridae;family
2731360;Heunggongvirae;kingdom
2841637;Tokiviricetes;class
2219222;Adomaviridae;family
2;Bacteria;superkingdom
2157;Archaea;superkingdom
2732396;Orthornavirae;kingdom
2732514;Revtraviricetes;class
1661063;Fusariviridae;family
2732092;Shotokuvirae;kingdom
2732094;Tubulavirales;order
10841;Microviridae;family
1911603;Pleolipoviridae;family
2840070;Lefavirales;order
2732005;Bamfordvirae;kingdom
1714267;Sphaerolipoviridae;family
28883;Caudovirales;order
548681;Herpesvirales;order
1511857;Ligamenvirales;order
1783272;Terrabacteria group;species
1224;Proteobacteria;phylum
1783270;FCB group;species
1783257;PVC group;species
40117;Nitrospirae;phylum
57723;Acidobacteria;phylum
74152;Elusimicrobia;phylum
203692;Spirochaetia;class
188708;Thermotogae;class
187857;Aquificae;class
203491;Fusobacteriales;order
649777;Synergistaceae;family
188711;Thermodesulfobacteriaceae;family
191394;Deferribacteraceae;family
28890;Euryarchaeota;phylum
1783275;TACK group;species
2283796;Candidatus Thermoplasmatota;phylum
2732408;Pisuviricota;phylum
2732405;Duplornaviricota;phylum
2732406;Kitrinoviricota;phylum
2497569;Negarnaviricota;phylum
2732407;Lenarviricota;phylum
10993;Birnaviridae;family
2169561;Ortervirales;order
10404;Hepadnaviridae;family
2732416;Cressdnaviricota;phylum
2732415;Cossaviricota;phylum
10860;Inoviridae;family
2842326;Paulinoviridae;family
2732098;Plectroviridae;family
10442;Baculoviridae;family
1511852;Nudiviridae;family
1285590;Hytrosaviridae;family
2732007;Nucleocytoviricota;phylum
2732008;Preplasmiviricota;phylum
2731691;Drexlerviridae;family
2842329;Schitoviridae;family
10699;Siphoviridae;family
10744;Podoviridae;family
10662;Myoviridae;family
2731643;Autographiviridae;family
2169529;Ackermannviridae;family
2731690;Demerecviridae;family
2731689;Chaseviridae;family
2560065;Herelleviridae;family
2842327;Rountreeviridae;family
2842328;Salasmaviridae;family
2842333;Zobellviridae;family
2842320;Guelinviridae;family
10292;Herpesviridae;family
548682;Alloherpesviridae;family
548685;Malacoherpesviridae;family
10477;Lipothrixviridae;family
201174;Actinobacteria;phylum
1239;Firmicutes;phylum
544448;Tenericutes;phylum
200795;Chloroflexi;phylum
188787;Deinococci;class
1117;Cyanobacteria;phylum
1236;Gammaproteobacteria;class
28211;Alphaproteobacteria;class
68525;delta/epsilon subdivisions;species
28216;Betaproteobacteria;class
1553900;Oligoflexia;class
68336;Bacteroidetes/Chlorobi group;species
219687;Gemmatimonadaceae;family
203682;Planctomycetes;phylum
74201;Verrucomicrobia;phylum
204429;Chlamydiia;class
189779;Nitrospiraceae;family
204432;Acidobacteriia;class
136;Spirochaetales;order
170;Leptospiraceae;family
2419;Thermotogales;order
1643948;Kosmotogaceae;family
1643949;Petrotogaceae;family
32069;Aquificales;order
558314;Desulfurobacteriaceae;family
203492;Fusobacteriaceae;family
1129771;Leptotrichiaceae;family
2283794;Methanomada group;species
2290931;Stenosarchaea group;species
2232;Archaeoglobaceae;family
2259;Thermococcaceae;family
651137;Thaumarchaeota;phylum
183924;Thermoprotei;class
183967;Thermoplasmata;class
2732506;Pisoniviricetes;class
2732507;Stelpaviricetes;class
2732549;Durnavirales;order
2732540;Ghabrivirales;order
10880;Reoviridae;family
2732461;Alsuviricetes;class
2732548;Tolivirales;order
2732546;Nodamuvirales;order
11050;Flaviviridae;family
2497571;Polyploviricotina;species
2497570;Haploviricotina;species
186766;Narnaviridae;family
11989;Leviviridae;family
2560063;Botourmiaviridae;family
186534;Caulimoviridae;family
11632;Retroviridae;family
186665;Metaviridae;family
2732423;Arfiviricetes;class
2732539;Geplafuvirales;order
2732421;Papovaviricetes;class
10780;Parvoviridae;family
2732523;Megaviricetes;class
2732525;Pokkesviricetes;class
2732529;Tectiliviricetes;class
1914302;Lavidaviridae;family
1760;Actinomycetia;class
84998;Coriobacteriia;class
908620;Nitriliruptoria;class
84993;Acidimicrobiales;order
84996;Rubrobacterales;order
91061;Bacilli;class
186801;Clostridia;class
1737404;Tissierellia;class
909932;Negativicutes;class
526525;Erysipelotrichales;order
31969;Mollicutes;class
301297;Dehalococcoidia;class
189775;Thermomicrobia;class
32064;Chloroflexales;order
292628;Anaerolineaceae;family
188786;Thermaceae;family
1890424;Synechococcales;order
1161;Nostocales;order
1301283;Oscillatoriophycideae;species
52604;Pleurocapsales;order
91347;Enterobacterales;order
72274;Pseudomonadales;order
135622;Alteromonadales;order
135614;Xanthomonadales;order
118969;Legionellales;order
72273;Thiotrichales;order
135619;Oceanospirillales;order
1706369;Cellvibrionales;order
135613;Chromatiales;order
135624;Aeromonadales;order
1775403;Nevskiales;order
712;Pasteurellaceae;family
641;Vibrionaceae;family
403;Methylococcaceae;family
1692041;Acidiferrobacteraceae;family
868;Cardiobacteriaceae;family
1240483;Orbaceae;family
356;Hyphomicrobiales;order
204441;Rhodospirillales;order
204455;Rhodobacterales;order
204457;Sphingomonadales;order
766;Rickettsiales;order
1921002;Holosporales;order
54526;Pelagibacterales;order
76892;Caulobacteraceae;family
2800061;Maricaulaceae;family
69657;Hyphomonadaceae;family
2066491;Emcibacteraceae;family
28221;Deltaproteobacteria;class
29547;Epsilonproteobacteria;class
206351;Neisseriales;order
80840;Burkholderiales;order
206389;Rhodocyclales;order
32003;Nitrosomonadales;order
2024979;Bacteriovoracales;order
976;Bacteroidetes;phylum
795748;Ignavibacteriales;order
191412;Chlorobiaceae;family
203683;Planctomycetia;class
666505;Phycisphaerae;class
414999;Opitutae;class
48461;Verrucomicrobiales;order
1963360;Parachlamydiales;order
204434;Acidobacteriaceae;family
1643685;Borreliaceae;family
137;Spirochaetaceae;family
188709;Thermotogaceae;family
1643950;Fervidobacteriaceae;family
224027;Hydrogenothermaceae;family
64898;Aquificaceae;family
2182;Methanococcales;order
2158;Methanobacteriales;order
183963;Halobacteria;class
224756;Methanomicrobia;class
1643678;Nitrososphaeria;class
338190;Nitrosopumilaceae;family
114380;Desulfurococcales;order
2266;Thermoproteales;order
871006;Acidilobales;order
118883;Sulfolobaceae;family
2301;Thermoplasmatales;order
1235850;Methanomassiliicoccales;order
2732553;Sobelivirales;order
464095;Picornavirales;order
76804;Nidovirales;order
39733;Astroviridae;family
39729;Potyviridae;family
11012;Partitiviridae;family
1511860;Amalgaviridae;family
39748;Hypoviridae;family
11006;Totiviridae;family
249310;Chrysoviridae;family
675063;Tymovirales;order
2732544;Martellivirales;order
2732543;Hepelivirales;order
39738;Tombusviridae;family
12283;Nodaviridae;family
1980410;Bunyavirales;order
2499411;Articulavirales;order
2497574;Monjiviricetes;class
251095;Nanoviridae;family
39724;Circoviridae;family
2169574;Smacoviridae;family
2169567;Bacilladnaviridae;family
10811;Geminiviridae;family
1910928;Genomoviridae;family
151340;Papillomaviridae;family
151341;Polyomaviridae;family
2732555;Pimascovirales;order
10501;Phycodnaviridae;family
549779;Mimiviridae;family
10240;Poxviridae;family
10508;Adenoviridae;family
10656;Tectiviridae;family
85007;Corynebacteriales;order
85006;Micrococcales;order
85009;Propionibacteriales;order
85012;Streptosporangiales;order
85030;Geodermatophilaceae;family
2070;Pseudonocardiaceae;family
2062;Streptomycetaceae;family
31953;Bifidobacteriaceae;family
28056;Micromonosporaceae;family
2049;Actinomycetaceae;family
2162846;Candidatus Nanopelagicaceae;family
84999;Coriobacteriales;order
1643826;Eggerthellaceae;family
1385;Bacillales;order
186826;Lactobacillales;order
186802;Eubacteriales;order
53433;Halanaerobiales;order
68295;Thermoanaerobacterales;order
2770089;Thermosediminibacterales;order
1737405;Tissierellales;order
909929;Selenomonadales;order
31977;Veillonellaceae;family
909930;Acidaminococcaceae;family
128827;Erysipelotrichaceae;family
186328;Entomoplasmatales;order
2092;Mycoplasmataceae;family
2146;Acholeplasmataceae;family
1890426;Synechococcaceae;family
1162;Nostocaceae;family
