taxid;name;rank
1;root;root
10239;Viruses;superkingdom
131567;cellular organisms;species
1458186;Alphasatellitidae;family
2559587;Riboviria;species
2731342;Monodnaviria;species
2840056;Naldaviricetes;class
1993640;Tolecusatellitidae;family
2732004;Varidnaviria;species
10474;Fuselloviridae;family
687329;Anelloviridae;family
12429;unclassified viruses;species
12333;unclassified bacterial viruses;species
451344;unclassified archaeal viruses;species
12877;Satellites;species
185752;Avsunviroidae;family
10482;Polydnaviridae;family
185751;Pospiviroidae;family
423358;Bicaudaviridae;family
2731360;Heunggongvirae;kingdom
1379788;Boiling Springs Lake RNA-DNA hybrid virus;species
2842370;Alphaglobulovirus;genus
573054;Ampullavirus;genus
39759;Deltavirus;genus
1157339;Aeropyrum coil-shaped virus;species
700542;Aeropyrum pernix bacilliform virus 1;species
46014;Acholeplasma virus L2;species
1032474;Aeropyrum pernix ovoid virus 1;species
2056194;Sulfolobus ellipsoid virus 1;species
2841637;Tokiviricetes;class
1982658;Sulfolobus polyhedral virus 1;species
2023716;Flavobacterium phage FLiP;species
128708;His 1 virus;species
2;Bacteria;superkingdom
2157;Archaea;superkingdom
1441744;Nanoalphasatellitinae;species
283494;Geminialphasatellitinae;species
2842420;Petromoalphasatellitinae;species
1458187;Coconut foliar decay alphasatellite;species
1925802;Virtovirus;genus
2732396;Orthornavirae;kingdom
2585030;unclassified Riboviria;species
265963;unclassified viroids;species
39780;unclassified dsRNA viruses;species
2733294;Polymycovirus;genus
1611875;Cucurbit aphid borne yellows virus associated RNA;species
2732514;Revtraviricetes;class
154834;Panicum mosaic satellite virus;species
2025096;Satellite tobacco necrosis virus C;species
31503;Satellite maize white line mosaic virus;species
230604;Extra small virus;species
2732092;Shotokuvirae;kingdom
2732094;Tubulavirales;order
10841;Microviridae;family
1911603;Pleolipoviridae;family
2840070;Lefavirales;order
342409;White spot syndrome virus;species
190729;Betasatellite;genus
1993641;Deltasatellite;genus
2732005;Bamfordvirae;kingdom
1714267;Sphaerolipoviridae;family
10475;Alphafusellovirus;genus
1299307;Betafusellovirus;genus
1298531;Sulfolobales Mexican fusellovirus 1;species
687332;Betatorquevirus;genus
687337;Etatorquevirus;genus
687333;Gammatorquevirus;genus
227307;Gyrovirus;genus
363628;unclassified Anelloviridae;species
1218489;Lambdatorquevirus;genus
687331;Alphatorquevirus;genus
1673633;Torque teno equus virus 1;species
687383;Torque teno douroucouli virus;species
1239832;Torque teno sus virus k2b;species
687381;Torque teno tupaia virus;species
687382;Torque teno tamarin virus;species
687386;Torque teno sus virus 1a;species
687385;Torque teno canis virus;species
1566011;Seal anellovirus 4;species
1868621;Diaphorina citri flavi-like virus;species
1804155;Marine RNA virus PAL438;species
1804157;Marine RNA virus PAL_E4;species
2204151;unclassified DNA viruses;species
1542745;Ancient caribou feces associated virus;species
1608440;Chimeric virus 14;species
1608451;Phytophthora parasitica virus;species
1843763;Bovine faeces associated circular DNA molecule 1;species
1843767;Deer faeces associated circular DNA virus 1;species
1676185;Chimpanzee faeces associated circular DNA molecule 1;species
1685736;Lake Sarah-associated circular virus-10;species
1808960;Phomopsis longicolla circular virus 1;species
1809112;Lake Sarah-associated circular molecule 12;species
1678078;Mollivirus sibericum;species
1678176;Diatom colony associated dsRNA virus 16;species
1678208;Rhizoctonia solani RNA virus HN008;species
2137352;Pythium polare bunya-like RNA virus 1;species
1580607;Magnaporthe oryzae RNA virus;species
1810946;Great Saltee virus;species
1810944;Tunis virus;species
1810947;Zirqa virus;species
1810950;Avalon virus;species
1843764;Bovine faeces associated circular DNA virus 1;species
1843765;Bovine faeces associated circular DNA virus 2;species
1843766;Chamois faeces associated circular DNA virus 1;species
1843768;Duck faeces associated circular DNA virus 1;species
1843769;Duck faeces associated circular DNA virus 2;species
1843770;Duck faeces associated circular DNA virus 3;species
1843772;Porcine faeces associated circular DNA molecule-1;species
1843771;Llama faeces associated circular DNA virus-1;species
1911102;Lodeiro virus;species
1911438;Bradson virus;species
1911439;Corey virus;species
2010265;Aedes alboannulatus toti-like virus 1;species
2010266;Aedes camptorhynchus toti-like virus 1;species
2010268;Aedes camptorhynchus negev-like virus;species
2010269;Aedes camptorhynchus reo-like virus;species
2010273;Culex negev-like virus 1;species
2010275;Culex negev-like virus 3;species
2010272;Culex mononega-like virus 2;species
2010278;Leshenault partiti-like virus;species
2010279;Point-Douro narna-like virus;species
2010280;Wilkie narna-like virus 1;species
2010281;Wilkie narna-like virus 2;species
2010274;Culex negev-like virus 2;species
2010283;Wilkie partiti-like virus 1;species
2010284;Wilkie partiti-like virus 2;species
1519385;Sewage-associated circular DNA virus-1;species
1519386;Sewage-associated circular DNA virus-10;species
1519387;Sewage-associated circular DNA virus-11;species
1519388;Sewage-associated circular DNA virus-12;species
1519389;Sewage-associated circular DNA virus-13;species
1519391;Sewage-associated circular DNA virus-2;species
1519392;Sewage-associated circular DNA virus-3;species
1519393;Sewage-associated circular DNA virus-4;species
2109373;Chicken stool associated circular virus 1;species
2109374;Chicken stool associated circular virus 2;species
2077300;Varroa mite associated virus 1;species
1585924;Arhar cryptic virus-I;species
2340909;Bovine serum-associated circular virus;species
1849539;Fusarium poae alternavirus 1;species
1685724;Lake Sarah-associated circular molecule 1;species
1685725;Lake Sarah-associated circular molecule 10;species
1685726;Lake Sarah-associated circular molecule 11;species
1685727;Lake Sarah-associated circular molecule 2;species
1685728;Lake Sarah-associated circular molecule 3;species
1685729;Lake Sarah-associated circular molecule 4;species
1685730;Lake Sarah-associated circular molecule 5;species
1685731;Lake Sarah-associated circular molecule 6;species
1685732;Lake Sarah-associated circular molecule 7;species
1685734;Lake Sarah-associated circular molecule 9;species
1685738;Lake Sarah-associated circular virus-12;species
1685733;Lake Sarah-associated circular molecule 8;species
1685741;Lake Sarah-associated circular virus-15;species
1685742;Lake Sarah-associated circular virus-16;species
1685737;Lake Sarah-associated circular virus-11;species
1685744;Lake Sarah-associated circular virus-18;species
1685745;Lake Sarah-associated circular virus-19;species
1685746;Lake Sarah-associated circular virus-2;species
1685740;Lake Sarah-associated circular virus-14;species
1685748;Lake Sarah-associated circular virus-21;species
1685749;Lake Sarah-associated circular virus-22;species
1685751;Lake Sarah-associated circular virus-24;species
1685752;Lake Sarah-associated circular virus-25;species
1685750;Lake Sarah-associated circular virus-23;species
1685754;Lake Sarah-associated circular virus-27;species
1685755;Lake Sarah-associated circular virus-28;species
1685756;Lake Sarah-associated circular virus-29;species
1685757;Lake Sarah-associated circular virus-3;species
1685758;Lake Sarah-associated circular virus-30;species
1685759;Lake Sarah-associated circular virus-31;species
1685760;Lake Sarah-associated circular virus-32;species
1685762;Lake Sarah-associated circular virus-34;species
1685763;Lake Sarah-associated circular virus-35;species
1685764;Lake Sarah-associated circular virus-36;species
1685765;Lake Sarah-associated circular virus-37;species
1685766;Lake Sarah-associated circular virus-38;species
1685767;Lake Sarah-associated circular virus-39;species
1685768;Lake Sarah-associated circular virus-4;species
1685769;Lake Sarah-associated circular virus-40;species
1685770;Lake Sarah-associated circular virus-41;species
1685771;Lake Sarah-associated circular virus-42;species
1685772;Lake Sarah-associated circular virus-43;species
1685773;Lake Sarah-associated circular virus-44;species
1685774;Lake Sarah-associated circular virus-45;species
1685775;Lake Sarah-associated circular virus-46;species
1685776;Lake Sarah-associated circular virus-47;species
1685777;Lake Sarah-associated circular virus-48;species
1685778;Lake Sarah-associated circular virus-49;species
1685780;Lake Sarah-associated circular virus-50;species
1685781;Lake Sarah-associated circular virus-51;species
1685779;Lake Sarah-associated circular virus-5;species
1685783;Lake Sarah-associated circular virus-6;species
1685784;Lake Sarah-associated circular virus-7;species
1685785;Lake Sarah-associated circular virus-8;species
1685786;Lake Sarah-associated circular virus-9;species
1587515;Black grass varicosavirus-like virus;species
1587517;Black grass cryptic virus 2;species
1489714;Tanay virus;species
1904876;Human DNA virus;species
1981916;Salmovirus WFRC1;species
1654356;Thika virus;species
1916647;Burke-Gilman virus;species
1820160;Human feces pecovirus;species
1034806;Mosquito VEM virus SDRBAJ;species
1755753;Penicillium aurantiogriseum foetidus-like virus;species
1755754;Penicillium aurantiogriseum bipartite virus 1;species
1755781;Penicillium aurantiogriseum partiti-like virus;species
1297894;Citrus yellow vein-associated virus;species
