taxid;name;rank
1;root;root
10239;Viruses;superkingdom
131567;cellular organisms;species
1458186;Alphasatellitidae;family
2559587;Riboviria;species
2731342;Monodnaviria;species
2840056;Naldaviricetes;class
1993640;Tolecusatellitidae;family
2732004;Varidnaviria;species
10474;Fuselloviridae;family
687329;Anelloviridae;family
185752;Avsunviroidae;family
10482;Polydnaviridae;family
185751;Pospiviroidae;family
423358;Bicaudaviridae;family
2731360;Heunggongvirae;kingdom
2842370;Alphaglobulovirus;genus
573054;Ampullavirus;genus
39759;Deltavirus;genus
2841637;Tokiviricetes;class
51368;unclassified dsDNA viruses;species
2;Bacteria;superkingdom
2157;Archaea;superkingdom
1441744;Nanoalphasatellitinae;species
283494;Geminialphasatellitinae;species
2842885;Muscarsatellite;genus
1925802;Virtovirus;genus
2732396;Orthornavirae;kingdom
2733294;Polymycovirus;genus
2732514;Revtraviricetes;class
439490;unclassified ssRNA viruses;species
2732092;Shotokuvirae;kingdom
2732094;Tubulavirales;order
10841;Microviridae;family
1911603;Pleolipoviridae;family
2840070;Lefavirales;order
190729;Betasatellite;genus
1993641;Deltasatellite;genus
2732005;Bamfordvirae;kingdom
1714267;Sphaerolipoviridae;family
10475;Alphafusellovirus;genus
1299307;Betafusellovirus;genus
687332;Betatorquevirus;genus
687337;Etatorquevirus;genus
687333;Gammatorquevirus;genus
227307;Gyrovirus;genus
1218489;Lambdatorquevirus;genus
687331;Alphatorquevirus;genus
185759;Pelamoviroid;genus
10483;Ichnovirus;genus
10485;Bracovirus;genus
185754;Cocadviroid;genus
185756;Apscaviroid;genus
185753;Pospiviroid;genus
185757;Coleviroid;genus
28883;Caudovirales;order
548681;Herpesvirales;order
1511857;Ligamenvirales;order
2060084;Pandoravirus;genus
2219222;Adomaviridae;family
1783272;Terrabacteria group;species
1224;Proteobacteria;phylum
1783270;FCB group;species
1783257;PVC group;species
40117;Nitrospirae;phylum
57723;Acidobacteria;phylum
74152;Elusimicrobia;phylum
203692;Spirochaetia;class
188708;Thermotogae;class
187857;Aquificae;class
203491;Fusobacteriales;order
649777;Synergistaceae;family
188711;Thermodesulfobacteriaceae;family
191394;Deferribacteraceae;family
13;Dictyoglomus;genus
28890;Euryarchaeota;phylum
1783275;TACK group;species
2283796;Candidatus Thermoplasmatota;phylum
2169630;Mivedwarsatellite;genus
2169627;Clostunsatellite;genus
2169619;Colecusatellite;genus
2169620;Gosmusatellite;genus
2169618;Clecrusatellite;genus
2732408;Pisuviricota;phylum
2732405;Duplornaviricota;phylum
2732406;Kitrinoviricota;phylum
2497569;Negarnaviricota;phylum
2732407;Lenarviricota;phylum
10993;Birnaviridae;family
1918013;Botybirnavirus;genus
2169561;Ortervirales;order
10404;Hepadnaviridae;family
1661063;Fusariviridae;family
1307798;Negevirus;genus
2732416;Cressdnaviricota;phylum
2732415;Cossaviricota;phylum
10860;Inoviridae;family
2842326;Paulinoviridae;family
2732098;Plectroviridae;family
1910950;Bullavirinae;species
40274;Chlamydiamicrovirus;genus
1911604;Alphapleolipovirus;genus
1911605;Betapleolipovirus;genus
10442;Baculoviridae;family
1511852;Nudiviridae;family
1285590;Hytrosaviridae;family
2732007;Nucleocytoviricota;phylum
2732008;Preplasmiviricota;phylum
1714268;Alphasphaerolipovirus;genus
1714270;Gammasphaerolipovirus;genus
2731691;Drexlerviridae;family
2842329;Schitoviridae;family
10699;Siphoviridae;family
10744;Podoviridae;family
10662;Myoviridae;family
2731643;Autographiviridae;family
2169529;Ackermannviridae;family
2731690;Demerecviridae;family
2731689;Chaseviridae;family
2560065;Herelleviridae;family
2842327;Rountreeviridae;family
2842328;Salasmaviridae;family
2842333;Zobellviridae;family
2842320;Guelinviridae;family
10292;Herpesviridae;family
548682;Alloherpesviridae;family
548685;Malacoherpesviridae;family
10477;Lipothrixviridae;family
187213;Rudivirus;genus
201174;Actinobacteria;phylum
1239;Firmicutes;phylum
544448;Tenericutes;phylum
200795;Chloroflexi;phylum
188787;Deinococci;class
1117;Cyanobacteria;phylum
1236;Gammaproteobacteria;class
28211;Alphaproteobacteria;class
68525;delta/epsilon subdivisions;species
28216;Betaproteobacteria;class
1553900;Oligoflexia;class
119977;Acidithiobacillus;genus
377315;Mariprofundus;genus
68336;Bacteroidetes/Chlorobi group;species
219687;Gemmatimonadaceae;family
203682;Planctomycetes;phylum
74201;Verrucomicrobia;phylum
204429;Chlamydiia;class
189779;Nitrospiraceae;family
204432;Acidobacteriia;class
1408194;Endomicrobium;genus
136;Spirochaetales;order
170;Leptospiraceae;family
29521;Brachyspira;genus
2419;Thermotogales;order
1643948;Kosmotogaceae;family
1643949;Petrotogaceae;family
32069;Aquificales;order
558314;Desulfurobacteriaceae;family
203492;Fusobacteriaceae;family
1129771;Leptotrichiaceae;family
1740;Thermodesulfobacterium;genus
2283794;Methanomada group;species
2290931;Stenosarchaea group;species
2232;Archaeoglobaceae;family
2259;Thermococcaceae;family
651137;Thaumarchaeota;phylum
183924;Thermoprotei;class
183967;Thermoplasmata;class
379546;Aciduliprofundum;genus
2732506;Pisoniviricetes;class
2732507;Stelpaviricetes;class
2732549;Durnavirales;order
2732540;Ghabrivirales;order
10880;Reoviridae;family
10878;Cystovirus;genus
2732461;Alsuviricetes;class
2732548;Tolivirales;order
2732546;Nodamuvirales;order
11050;Flaviviridae;family
2497571;Polyploviricotina;species
2497570;Haploviricotina;species
186766;Narnaviridae;family
11989;Leviviridae;family
2560063;Botourmiaviridae;family
186768;Mitovirus;genus
39750;Aquabirnavirus;genus
186534;Caulimoviridae;family
11632;Retroviridae;family
186665;Metaviridae;family
10405;Orthohepadnavirus;genus
10437;Avihepadnavirus;genus
2732423;Arfiviricetes;class
2732539;Geplafuvirales;order
2732421;Papovaviricetes;class
10780;Parvoviridae;family
1977139;Fibrovirus;genus
10861;Inovirus;genus
1977142;Lineavirus;genus
1977141;Habenivirus;genus
1977143;Saetivirus;genus
1977144;Vespertiliovirus;genus
1910952;Gequatrovirus;genus
1910951;Alphatrevirus;genus
558016;Alphabaculovirus;genus
558017;Betabaculovirus;genus
558018;Gammabaculovirus;genus
1511853;Alphanudivirus;genus
2732523;Megaviricetes;class
2732525;Pokkesviricetes;class
2732529;Tectiliviricetes;class
1914302;Lavidaviridae;family
2732047;Tempevirinae;species
2732045;Braunvirinae;species
1920860;Webervirus;genus
1920866;Rogunavirus;genus
187217;Tunavirus;genus
2842586;Cbunavirus;genus
2842417;Migulavirinae;species
2842934;Pacinivirus;genus
2843161;Zicotriavirus;genus
2169642;Jwalphavirus;genus
1982576;Johnsonvirus;genus
2169643;Ithacavirus;genus
2169641;Baltimorevirus;genus
1920753;Gamaleyavirus;genus
2842528;Queuovirinae;species
1623289;Dhillonvirus;genus
2842527;Hendrixvirinae;species
2843343;Aguilavirus;genus
186765;Lambdavirus;genus
186764;Fromanvirus;genus
1910976;Guernseyvirinae;species
2843392;Hubeivirus;genus
1623281;Cheoctovirus;genus
2843470;Vedamuthuvirus;genus
1623303;Brussowvirus;genus
1623306;Timquatrovirus;genus
2732612;Dolichocephalovirinae;species
1623309;Xipdecavirus;genus
1982876;Bclasvirinae;species
2843444;Ravarandavirus;genus
1623292;Omegavirus;genus
1623283;Chivirus;genus
1921544;Septimatrevirus;genus
2560150;Ilzatvirus;genus
2843466;Teubervirus;genus
2842524;Deejayvirinae;species
2843430;Nevevirus;genus
2843412;Lambovirus;genus
1912760;Cequinquevirus;genus
2733196;Montyvirus;genus
2733208;Samwavirus;genus
1982875;Arquatrovirinae;species
1623305;Skunavirus;genus
1982099;Amigovirus;genus
1982076;Korravirus;genus
1982088;Mudcatvirus;genus
2560134;Galaxyvirus;genus
2843368;Colunavirus;genus
2843438;Pleetrevirus;genus
1982557;Smoothievirus;genus
1623304;Moineauvirus;genus
1982106;Demosthenesvirus;genus
2731207;Fairfaxidumvirus;genus
2560127;Emalynvirus;genus
1982562;Soupsvirus;genus
2733200;Oneupvirus;genus
2169658;Wizardvirus;genus
2843472;Waukeshavirus;genus
2169655;Pulverervirus;genus
186532;Ceduovirus;genus
1623273;Triavirus;genus
1982367;Pepyhexavirus;genus
1299429;Yuavirus;genus
2843351;Audreyjarvisvirus;genus
2169600;Nclasvirinae;species
2843403;Konstantinevirus;genus
