ID,length,locus_tag,assembly,accession,start,end,strand,taxid,feature,gene,product,protein_id,context,superkingdom,phylum,class,order,family,genus,species,replicon_type,replicon_name
AB001922U3,207,IHO92_RS17600,GCF904799825.1,NZ_LR882493.1,3575134,3575758,-1,562,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB001922U4;AB001922U5;AB001922U6;AB001922U7;AB001922U8;AB001922U9;AB001922UA;AB001922UB;AB001922UC;AB001922U2;AB001922U1;AB001922U0;AB001922TZ;AB001922TY;AB001922TX;AB001922TW;AB001922TV,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,chromosome,1
AB0016591U,207,IFO96_RS04725,GCF014854635.1,NZ_CP062211.1,969849,970473,1,562,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB0016591V;AB0016591W;AB0016591X;AB0016591Y;AB0016591Z;AB00165920;AB00165921;AB00165922;AB0016591T;AB0016591S;AB0016591R;AB0016591Q;AB0016591P;AB0016591O;AB0016591N;AB0016591M;AB0016591L,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,main,main
AB00148BMJ,207,HVY75_RS07910,GCF013825725.1,NZ_CP057311.1,1611288,1611912,-1,564,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB00148BMK;AB00148BML;AB00148BMM;AB00148BMN;AB00148BMO;AB00148BMP;AB00148BMQ;AB00148BMR;AB00148BMS;AB00148BMI;AB00148BMH;AB00148BMG;AB00148BMF;AB00148BME;AB00148BMD;AB00148BMC;AB00148BMB,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,main,main
AB0012F4Q4,207,HPE49_RS20670,GCF013315715.1,NZ_CP054363.1,4282518,4283142,1,562,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB0012F4Q5;AB0012F4Q6;AB0012F4Q7;AB0012F4Q8;AB0012F4Q9;AB0012F4QA;AB0012F4QB;AB0012F4QC;AB0012F4Q3;AB0012F4Q2;AB0012F4Q1;AB0012F4Q0;AB0012F4PZ;AB0012F4PY;AB0012F4PX;AB0012F4PW;AB0012F4PV,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,main,main
AB000VZ57F,207,F4V37_RS07850,GCF008727235.1,NZ_CP044152.1,1479998,1480622,-1,623,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB000VZ57G;AB000VZ57H;AB000VZ57I;AB000VZ57J;AB000VZ57K;AB000VZ57L;AB000VZ57M;AB000VZ57N;AB000VZ57O;AB000VZ57P;AB000VZ57Q;AB000VZ57E;AB000VZ57D;AB000VZ57C;AB000VZ57B;AB000VZ57A;AB000VZ579;AB000VZ578;AB000VZ577,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,main,main
AB000LL2UE,207,C6W73_RS04270,GCF003018275.1,NZ_CP027449.1,810058,810682,-1,562,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB000LL2UF;AB000LL2UG;AB000LL2UH;AB000LL2UI;AB000LL2UJ;AB000LL2UK;AB000LL2UL;AB000LL2UM;AB000LL2UN;AB000LL2UD;AB000LL2UC;AB000LL2UB;AB000LL2UA;AB000LL2U9;AB000LL2U8;AB000LL2U7;AB000LL2U6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,main,main
AB000LKVVV,207,C6W65_RS09175,GCF003018235.1,NZ_CP027437.1,1763219,1763843,-1,562,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB000LKVVW;AB000LKVVX;AB000LKVVY;AB000LKVVZ;AB000LKVW0;AB000LKVW1;AB000LKVW2;AB000LKVW3;AB000LKVW4;AB000LKVVU;AB000LKVVT;AB000LKVVS;AB000LKVVR;AB000LKVVQ;AB000LKVVP;AB000LKVVO,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,main,main
AB000GKWG2,207,C7V17_RS18770,GCF002164865.2,NZ_CP034966.1,3452363,3452987,-1,562,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122253.1,AB000GKWG3;AB000GKWG4;AB000GKWG5;AB000GKWG6;AB000GKWG7;AB000GKWG8;AB000GKWG9;AB000GKWGA;AB000GKWGB;AB000GKWG1;AB000GKWG0;AB000GKWFZ;AB000GKWFY;AB000GKWFX;AB000GKWFW;AB000GKWFV;AB000GKWFU,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,main,main
AB000NBMEW,207,DVA43_RS12695,GCF003336345.1,NZ_CP031104.1,2583146,2583770,-1,2282310,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_032616835.1,AB000NBMEX;AB000NBMEY;AB000NBMEZ;AB000NBMF0;AB000NBMF1;AB000NBMF2;AB000NBMF3;AB000NBMF4;AB000NBMF5;AB000NBMEV;AB000NBMEU;AB000NBMET;AB000NBMES;AB000NBMER;AB000NBMEQ;AB000NBMEP;AB000NBMEO,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,Leclercia sp. W6,main,main
AB000DOJC7,207,BMF08_RS10530,GCF001888805.2,NZ_CP019113.1,2219934,2220558,1,1914861,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_032616835.1,AB000DOJC8;AB000DOJC9;AB000DOJCA;AB000DOJCB;AB000DOJCC;AB000DOJCD;AB000DOJCE;AB000DOJCF;AB000DOJC6;AB000DOJC5;AB000DOJC4;AB000DOJC3;AB000DOJC2;AB000DOJC1;AB000DOJC0;AB000DOJBZ;AB000DOJBY,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sp. SA187,main,main
