molecule,domain,start,end
AB000000N9,CLP_protease,11,176
AB00000C2N,CLP_protease,90,169
AB0000MP5R,CLP_protease,38,217
AB0000O76P,CLP_protease,10,181
AB0000O76Q,CLP_protease,37,214
AB0000OF8F,CLP_protease,25,202
AB0000P7JD,CLP_protease,11,190
AB0000P7WE,CLP_protease,45,212
AB0000P7WF,CLP_protease,17,196
AB0000P88J,CLP_protease,35,213
AB0000Q35Z,CLP_protease,21,200
AB0000Q3DY,CLP_protease,11,190
AB0000QZYN,CLP_protease,20,199
AB0000RDPZ,CLP_protease,13,191
AB0000UNWB,CLP_protease,30,201
AB0000UNWC,CLP_protease,15,195
AB0000URCK,CLP_protease,15,187
AB0000URCL,CLP_protease,37,217
AB0000USNJ,CLP_protease,21,199
AB0000UTKL,SDH_sah,43,120
AB0000UVK6,CLP_protease,13,192
AB0000VAEF,CLP_protease,14,192
AB0000VAU8,CLP_protease,14,194
AB0000VJ4Y,CLP_protease,24,203
AB0000W59V,CLP_protease,14,192
AB0000W6CR,CLP_protease,12,191
AB0000W91A,CLP_protease,13,192
AB0000WS4S,CLP_protease,13,192
AB0000XBEX,CLP_protease,22,201
AB0000Y42I,SDH_sah,71,130
AB0000Y4YV,CLP_protease,21,200
AB0000Y52R,SDH_sah,71,130
AB0000Y65F,CLP_protease,28,203
AB0000YJQ9,CLP_protease,38,213
AB0000YJQA,CLP_protease,12,185
AB0000YJUJ,CLP_protease,16,186
AB0000YJUK,CLP_protease,16,192
AB0000YMJZ,CLP_protease,15,182
AB0000Z8O1,CLP_protease,14,193
AB0000ZOO3,CLP_protease,13,192
AB00010CUK,CLP_protease,35,213
AB00010D28,CLP_protease,16,195
AB00010D29,CLP_protease,45,212
AB00010DCL,CLP_protease,18,197
AB00010ODO,CLP_protease,17,192
AB00010P3Q,CLP_protease,13,191
AB00011UA1,CLP_protease,17,196
AB00011UK3,SDH_sah,51,119
AB00012CQP,CLP_protease,15,192
AB00012CUY,CLP_protease,12,187
AB00013G9X,CLP_protease,26,205
AB000143FA,CLP_protease,12,191
AB00014FMK,CLP_protease,27,206
AB00014VLU,CLP_protease,14,193
AB000154CP,CLP_protease,36,214
AB000156B0,CLP_protease,15,189
AB00015I7G,CLP_protease,25,195
AB00015JE5,CLP_protease,21,200
AB00015Z79,CLP_protease,19,198
AB00015Z7B,CLP_protease,19,196
AB00015ZLV,CLP_protease,11,190
AB000161BS,CLP_protease,20,199
AB000161BV,CLP_protease,19,196
AB000162S7,CLP_protease,11,190
AB00016GGT,CLP_protease,38,217
AB00016I4M,CLP_protease,29,202
AB00016I4N,CLP_protease,28,207
AB00016JDN,CLP_protease,22,201
AB00016JDO,CLP_protease,33,206
AB00016T44,CLP_protease,13,192
AB000175CJ,CLP_protease,22,201
AB00017OP6,CLP_protease,28,207
AB00017RST,CLP_protease,29,208
AB00017UR5,CLP_protease,21,200
AB00017YSE,CLP_protease,22,201
AB00017ZEH,CLP_protease,47,196
AB00018FVC,CLP_protease,21,200
AB00018FZX,SDH_sah,27,106
AB00018WZK,CLP_protease,12,191
AB00019FVK,CLP_protease,13,192
AB00019HJV,CLP_protease,14,189
AB00019MZW,CLP_protease,11,192
AB00019RV9,CLP_protease,21,200
AB00019S06,CLP_protease,42,205
AB00019S5O,CLP_protease,17,196
AB00019V12,CLP_protease,38,216
AB00019VIL,CLP_protease,50,217
AB00019VIM,CLP_protease,16,195
AB00019VPO,CLP_protease,11,190
AB0001AOY6,CLP_protease,40,219
AB0001APG1,CLP_protease,16,196
AB0001APG2,CLP_protease,46,212
AB0001APXT,CLP_protease,11,190
AB0001B9L9,CLP_protease,14,193
AB0001BBF4,CLP_protease,21,200
AB0001BCYO,CLP_protease,29,208
AB0001BDYP,SDH_sah,55,113
AB0001BGPU,CLP_protease,28,206
AB0001BVGC,CLP_protease,13,192
AB0001C27E,CLP_protease,16,196
AB0001C97F,CLP_protease,13,192
AB0001CM1N,CLP_protease,13,189
AB0001CM1O,CLP_protease,43,222
AB0001CO3O,CLP_protease,12,189
AB0001CW2I,CLP_protease,18,197
AB0001DDB8,CLP_protease,16,195
AB0001DDB9,CLP_protease,13,183
AB0001DDWD,CLP_protease,17,193
AB0001DDWE,CLP_protease,7,180
AB0001DGA2,CLP_protease,26,205
AB0001DQWN,CLP_protease,18,197
AB0001E9NE,CLP_protease,4,163
AB0001EAO5,SDH_sah,61,120
AB0001EB8A,CLP_protease,11,190
AB0001EHWW,CLP_protease,17,126
AB0001EHWW,CLP_protease,172,220
AB0001EL4B,CLP_protease,21,200
AB0001EWWD,CLP_protease,12,190
AB0001EXFB,CLP_protease,45,212
AB0001EXFC,CLP_protease,16,196
AB0001EXOZ,CLP_protease,23,201
AB0001EYEG,CLP_protease,12,190
AB0001EYVK,CLP_protease,45,212
AB0001EYVL,CLP_protease,16,196
AB0001EZ5U,CLP_protease,23,202
AB0001EZXH,CLP_protease,11,190
AB0001F0FY,CLP_protease,45,212
AB0001F0FZ,CLP_protease,17,196
AB0001F0QQ,CLP_protease,35,213
AB0001FF4V,SDH_sah,58,117
AB0001FF7E,SDH_sah,54,115
AB0001FG1P,CLP_protease,13,192
AB0001FUAV,SDH_sah,25,132
AB0001FV8C,CLP_protease,22,201
AB0001GB4H,SDH_sah,55,117
AB0001GC9K,CLP_protease,14,192
