id,domain,start,end
AB00001BAR,AAA_lid_9,345,446
AB00001BAR,Clp_N,18,68
AB00001BAR,Clp_N,95,147
AB00001BAR,AAA,205,318
AB00001BAR,ClpB_D2-small,771,851
AB00001BAR,Sigma54_activat,603,728
AB00002DQD,AAA_lid_9,343,440
AB00002DQD,ClpB_D2-small,771,851
AB00002DQD,AAA_5,201,321
AB00002DQD,Clp_N,17,68
AB00002DQD,Clp_N,94,142
AB00002DQD,Sigma54_activat,597,718
AB00003QNL,AAA_lid_9,345,446
AB00003QNL,Clp_N,19,68
AB00003QNL,Clp_N,95,147
AB00003QNL,AAA,205,318
AB00003QNL,ClpB_D2-small,771,851
AB00003QNL,Sigma54_activat,604,710
AB0000549O,AAA_lid_9,345,446
AB0000549O,Clp_N,20,68
AB0000549O,Clp_N,95,147
AB0000549O,AAA,205,322
AB0000549O,ClpB_D2-small,771,851
AB0000549O,Sigma54_activat,604,719
AB00007GGX,AAA_lid_9,344,446
AB00007GGX,AAA,205,318
AB00007GGX,ClpB_D2-small,789,869
AB00007GGX,Clp_N,20,66
AB00007GGX,Clp_N,99,147
AB00007GGX,Sigma54_activat,603,705
AB0000JEU0,AAA_lid_9,345,446
AB0000JEU0,ClpB_D2-small,787,867
AB0000JEU0,AAA,205,317
AB0000JEU0,Clp_N,20,68
AB0000JEU0,Clp_N,95,147
AB0000JEU0,AAA_5,605,729
AB0000MV11,Clp_N,18,70
AB0000MV11,Clp_N,94,143
AB0000MV11,ClpB_D2-small,718,797
AB0000MV11,Sigma54_activat,514,659
AB0000MV11,UVR,420,454
AB0000MV11,TniB,190,342
AB0000MV11,Clp_N,18,70
AB0000MV11,Clp_N,94,143
AB0000MV11,ClpB_D2-small,718,797
AB0000MV11,Sigma54_activat,514,659
AB0000MV11,UVR,420,454
AB0000MV11,TniB,190,342
AB0000P7OL,Clp_N,16,68
AB0000P7OL,Clp_N,92,143
AB0000P7OL,ClpB_D2-small,749,829
AB0000P7OL,AAA,206,333
AB0000P7OL,Sigma54_activat,542,677
AB0000P7OL,UVR,418,452
AB0000PILO,ClpB_D2-small,721,801
AB0000PILO,AAA,213,325
AB0000PILO,Clp_N,16,68
AB0000PILO,Clp_N,91,140
AB0000PILO,Sigma54_activat,544,658
AB0000PILO,UVR,428,458
AB0000PXYD,AAA,208,320
AB0000PXYD,ClpB_D2-small,718,797
AB0000PXYD,Clp_N,18,66
AB0000PXYD,Clp_N,96,144
AB0000PXYD,Sigma54_activat,543,674
AB0000PXYD,UVR,421,454
AB0000QZXQ,Clp_N,16,63
AB0000QZXQ,Clp_N,88,140
AB0000QZXQ,ClpB_D2-small,706,785
AB0000QZXQ,UVR,410,444
AB0000QZXQ,Sigma54_activat,534,643
AB0000QZXQ,TniB,181,333
AB0000UOVM,Clp_N,107,149
AB0000UOVM,Clp_N,182,223
AB0000UP1R,Clp_N,16,68
AB0000UP1R,Clp_N,93,142
AB0000UP1R,ClpB_D2-small,720,800
AB0000UP1R,TniB,193,344
AB0000UP1R,Sigma54_activat,544,664
AB0000UP1R,UVR,423,454
AB0000UP1R,Clp_N,16,68
AB0000UP1R,Clp_N,93,142
AB0000UP1R,ClpB_D2-small,720,800
AB0000UP1R,TniB,193,344
AB0000UP1R,Sigma54_activat,544,664
AB0000UP1R,UVR,423,454
AB0000UPCW,Clp_N,24,54
AB0000UPCW,Clp_N,135,178
AB0000UQQV,Clp_N,16,68
AB0000UQQV,Clp_N,93,142
AB0000UQQV,ClpB_D2-small,719,799
AB0000UQQV,TniB,192,343
AB0000UQQV,Sigma54_activat,543,663
AB0000UQQV,UVR,421,453
AB0000USRL,AAA_lid_9,347,449
AB0000USRL,Clp_N,17,68
AB0000USRL,Clp_N,97,150
AB0000USRL,ClpB_D2-small,776,856
AB0000USRL,AAA,208,340
AB0000USRL,Sigma54_activat,609,726
AB0000UW9B,Clp_N,16,68
AB0000UW9B,Clp_N,93,142
AB0000UW9B,ClpB_D2-small,720,800
AB0000UW9B,AAA,210,322
AB0000UW9B,Sigma54_activat,529,651
AB0000UW9B,UVR,423,454
AB0000UZYL,Clp_N,16,63
AB0000UZYL,Clp_N,133,175
AB0000V028,Clp_N,108,154
AB0000V028,Clp_N,186,233
AB0000V05Q,AAA_lid_9,343,445
AB0000V05Q,Clp_N,17,68
AB0000V05Q,Clp_N,94,145
AB0000V05Q,ClpB_D2-small,758,838
AB0000V05Q,AAA,203,335
AB0000V05Q,Sigma54_activat,599,705
AB0000VCK3,Clp_N,16,68
AB0000VCK3,Clp_N,92,144
AB0000VCK3,ClpB_D2-small,723,803
AB0000VCK3,Sigma54_activat,547,667
AB0000VCK3,TniB,197,348
AB0000VCK3,UVR,426,460
AB0000VEGN,Clp_N,17,67
AB0000VEGN,Clp_N,97,137
AB0000VEGN,ClpB_D2-small,745,825
AB0000VEGN,AAA_16,212,299
AB0000VEGN,Sigma54_activat,569,671
AB0000VEGN,UVR,447,479
AB0000VMJC,Clp_N,16,67
AB0000VMJC,Clp_N,90,142
AB0000VMJC,AAA,213,328
AB0000VMJC,ClpB_D2-small,722,802
AB0000VMJC,Sigma54_activat,547,658
AB0000VMJC,UVR,425,459
AB0000VNJT,AAA_lid_9,344,446
AB0000VNJT,Clp_N,19,70
AB0000VNJT,Clp_N,96,148
AB0000VNJT,ClpB_D2-small,770,850
AB0000VNJT,Sigma54_activat,602,718
AB0000VNJT,TniB,189,340
AB0000W4M1,AAA,218,347
AB0000W4M1,ClpB_D2-small,729,809
AB0000W4M1,Clp_N,18,70
AB0000W4M1,Clp_N,96,147
AB0000W4M1,Sigma54_activat,549,664
AB0000W4M1,UVR,432,461
AB0000XDHA,AAA_lid_9,343,445
AB0000XDHA,ClpB_D2-small,779,859
AB0000XDHA,Clp_N,17,67
AB0000XDHA,Clp_N,94,145
AB0000XDHA,AAA,204,321
AB0000XDHA,Sigma54_activat,594,717
AB0000XLVK,Clp_N,113,163
AB0000XLVK,Clp_N,188,237
AB0000XMMS,Clp_N,24,53
AB0000XMMS,Clp_N,134,178
AB0000XO44,Clp_N,16,68
AB0000XO44,Clp_N,93,142
AB0000XO44,ClpB_D2-small,720,800
AB0000XO44,TniB,193,344
AB0000XO44,Sigma54_activat,539,664
AB0000XO44,UVR,422,454
AB0000XX8E,AAA_lid_9,347,449
AB0000XX8E,ClpB_D2-small,776,856
AB0000XX8E,Clp_N,17,66
AB0000XX8E,Clp_N,98,150
AB0000XX8E,AAA_5,609,728
AB0000XX8E,TniB,201,343
AB0000YJ6B,Clp_N,113,160
AB0000YJ6B,Clp_N,189,233
AB0000YK7J,Clp_N,16,63
AB0000YK7J,Clp_N,75,94
AB0000YK7J,Clp_N,135,180
AB0000YM9D,Clp_N,16,68
AB0000YM9D,Clp_N,93,142
AB0000YM9D,ClpB_D2-small,721,801
AB0000YM9D,AAA,211,323
AB0000YM9D,Sigma54_activat,520,649
AB0000YM9D,UVR,424,455
AB0000ZA0Y,AAA_lid_9,343,445
AB0000ZA0Y,AAA,204,321
AB0000ZA0Y,ClpB_D2-small,775,855
AB0000ZA0Y,Clp_N,24,69
AB0000ZA0Y,Clp_N,99,146
AB0000ZA0Y,Sigma54_activat,576,728
AB0000ZA6Q,AAA_lid_9,338,432
AB0000ZA6Q,Clp_N,18,68
AB0000ZA6Q,Clp_N,92,140
AB0000ZA6Q,AAA,199,312
AB0000ZA6Q,ClpB_D2-small,709,788
AB0000ZA6Q,Sigma54_activat,534,661
AB000106FG,Clp_N,26,63
AB000106FG,Clp_N,99,143
AB000107JP,AAA_lid_9,352,418
AB000107JP,Clp_N,16,68
AB000107JP,Clp_N,94,143
AB000107JP,AAA,213,341
AB000107JP,ClpB_D2-small,671,749
AB000107JP,Sigma54_activat,475,610
AB000107YN,Clp_N,16,68
AB000107YN,Clp_N,92,143
AB000107YN,ClpB_D2-small,717,797
AB000107YN,AAA,204,331
AB000107YN,Sigma54_activat,511,642
AB000107YN,UVR,416,451
AB000107YR,Clp_N,16,68
AB000107YR,Clp_N,92,138
AB000107YR,Uma2,184,316
AB000107YR,Clp_N,16,68
AB000107YR,Clp_N,92,138
AB000107YR,Uma2,184,316
AB000108DI,Clp_N,26,78
AB000108DI,Clp_N,101,152
AB000108DI,Uma2,210,347
AB00010D67,AAA_lid_9,344,445
AB00010D67,Clp_N,19,69
AB00010D67,Clp_N,95,146
AB00010D67,AAA,204,336
AB00010D67,ClpB_D2-small,773,853
AB00010D67,Sigma54_activat,577,708
AB00010DP5,Clp_N,16,68
AB00010DP5,Clp_N,92,143
AB00010DP5,AAA_lid_9,344,446
AB00010DP5,ClpB_D2-small,752,830
AB00010DP5,AAA,206,333
AB00010DP5,Sigma54_activat,545,680
AB000134F0,AAA_lid_9,342,441
AB000134F0,AAA,203,335
AB000134F0,Clp_N,17,68
AB000134F0,Clp_N,94,145
AB000134F0,ClpB_D2-small,768,846
AB000134F0,Sigma54_activat,599,718
AB00013H2V,AAA_lid_9,342,440
AB00013H2V,AAA,203,336
AB00013H2V,Clp_N,17,68
AB00013H2V,Clp_N,95,145
AB00013H2V,ClpB_D2-small,768,848
AB00013H2V,Sigma54_activat,603,730
AB00013QTK,Clp_N,19,69
AB00013QTK,Clp_N,95,146
AB00013QTK,AAA_lid_9,343,445
AB00013QTK,ClpB_D2-small,772,850
AB00013QTK,AAA,204,336
AB00013QTK,Sigma54_activat,581,707
AB00013R77,Clp_N,16,68
AB00013R77,Clp_N,92,143
AB00013R77,AAA_lid_9,346,448
AB00013R77,ClpB_D2-small,736,816
AB00013R77,AAA,208,335
AB00013R77,Sigma54_activat,529,660
AB00013W1H,Clp_N,17,64
AB00013W1H,Clp_N,95,144
AB00013W1H,ClpB_D2-small,749,829
AB00013W1H,AAA,236,347
AB00013W1H,Sigma54_activat,549,681
AB00013W1H,UVR,448,481
AB00014EYE,AAA_lid_9,342,441
AB00014EYE,AAA,203,336
AB00014EYE,ClpB_D2-small,766,846
AB00014EYE,Clp_N,17,68
AB00014EYE,Clp_N,95,145
AB00014EYE,Sigma54_activat,601,728
AB00014RLR,AAA,233,365
AB00014RLR,ClpB_D2-small,743,823
AB00014RLR,Clp_N,17,67
AB00014RLR,Clp_N,107,141
AB00014RLR,Sigma54_activat,539,678
AB00014RLR,UVR,445,477
AB00014X39,Clp_N,16,68
AB00014X39,Clp_N,93,142
AB00014X39,ClpB_D2-small,719,798
AB00014X39,Sigma54_activat,517,650
AB00014X39,TniB,193,344
AB00014X39,UVR,422,456
AB0001525A,AAA_lid_9,344,446
AB0001525A,ClpB_D2-small,773,849
AB0001525A,AAA,205,337
AB0001525A,Clp_N,18,69
AB0001525A,Clp_N,95,147
AB0001525A,Sigma54_activat,605,724
AB00015DGT,AAA_lid_9,366,456
AB00015DGT,AAA,226,358
AB00015DGT,ClpB_D2-small,792,868
AB00015DGT,Clp_N,26,73
AB00015DGT,Sigma54_activat,622,748
AB00015FPF,AAA_lid_9,345,447
AB00015FPF,ClpB_D2-small,767,847
AB00015FPF,AAA,207,338
AB00015FPF,Clp_N,17,69
AB00015FPF,Clp_N,96,148
AB00015FPF,AAA_5,602,723
AB00015Y6A,AAA_lid_9,343,445
AB00015Y6A,ClpB_D2-small,763,841
AB00015Y6A,AAA,204,335
AB00015Y6A,Clp_N,21,65
AB00015Y6A,Clp_N,97,146
AB00015Y6A,Sigma54_activat,583,701
AB00015YUJ,AAA_lid_9,344,445
AB00015YUJ,ClpB_D2-small,773,853
AB00015YUJ,Clp_N,21,72
AB00015YUJ,Clp_N,96,147
AB00015YUJ,AAA,205,335
AB00015YUJ,Sigma54_activat,605,711
AB00015Z78,Clp_N,16,68
AB00015Z78,Clp_N,92,143
AB00015Z78,ClpB_D2-small,719,798
AB00015Z78,AAA,205,332
AB00015Z78,Sigma54_activat,514,650
AB00015Z78,UVR,418,452
AB00016KN8,AAA_lid_9,344,443
AB00016KN8,ClpB_D2-small,770,850
AB00016KN8,AAA,205,322
AB00016KN8,Clp_N,21,67
AB00016KN8,Clp_N,95,146
AB00016KN8,Sigma54_activat,604,707
AB00016KNY,Clp_N,16,68
AB00016KNY,Clp_N,93,142
AB00016KNY,ClpB_D2-small,719,797
AB00016KNY,AAA_5,546,666
AB00016KNY,TniB,193,344
AB00016KNY,UVR,422,453
AB00016O4Z,AAA_lid_9,344,444
AB00016O4Z,ClpB_D2-small,767,846
AB00016O4Z,Clp_N,17,69
AB00016O4Z,Clp_N,95,146
AB00016O4Z,AAA,205,336
AB00016O4Z,Sigma54_activat,600,718
