ID,length,locus_tag,assembly,accession,start,end,strand,taxid,feature,gene,product,protein_id,context,superkingdom,phylum,class,order,family,genus,species,replicon_type,replicon_name
AB000ZRMMN,840,G6N16_RS00505,GCF010731615.1,NZ_AP022618.1,108804,111327,-1,444597,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_083033650.1,AB000ZRMMO;AB000ZRMMP;AB000ZRMMQ;AB000ZRMMR;AB000ZRMMS;AB000ZRMMT;AB000ZRMMU;AB000ZRMMV;AB000ZRMMW;AB000ZRMMX;AB000ZRMMM;AB000ZRMML;AB000ZRMMK;AB000ZRMMJ;AB000ZRMMI;AB000ZRMMH;AB000ZRMMG;AB000ZRMMF;AB000ZRMME;AB000ZRMMD;AB000ZRMMC;AB000ZRMMB,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,main,main
AB000BIN9E,840,A7U43_RS06395,GCF001644575.1,NZ_CP015596.1,1374825,1377348,1,1682113,CDS,,ATP-dependent Clp protease ATP-binding subunit,WP_067992450.1,AB000BIN9F;AB000BIN9G;AB000BIN9H;AB000BIN9I;AB000BIN9J;AB000BIN9K;AB000BIN9L;AB000BIN9M;AB000BIN9N;AB000BIN9O;AB000BIN9P;AB000BIN9Q;AB000BIN9D;AB000BIN9C;AB000BIN9B;AB000BIN9A;AB000BIN99;AB000BIN98;AB000BIN97;AB000BIN96;AB000BIN95;AB000BIN94;AB000BIN93;AB000BIN92;AB000BIN91,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. YC-RL4,main,main
AB000AU2NM,843,MPHLCCUG_RS02230,GCF001583415.1,NZ_CP014475.1,447514,450046,1,1771,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_003888548.1,AB000AU2NN;AB000AU2NO;AB000AU2NP;AB000AU2NQ;AB000AU2NR;AB000AU2NS;AB000AU2NT;AB000AU2NU;AB000AU2NV;AB000AU2NW;AB000AU2NX;AB000AU2NY;AB000AU2NZ;AB000AU2O0;AB000AU2NL;AB000AU2NK;AB000AU2NJ;AB000AU2NI;AB000AU2NH;AB000AU2NG;AB000AU2NF;AB000AU2NE;AB000AU2ND;AB000AU2NC;AB000AU2NB;AB000AU2NA,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phlei,main,main
AB0004VK47,849,MYCSM_RS28530,GCF000328565.1,NC_019966.1,5874758,5877308,-1,212767,CDS,,ATP-dependent Clp protease ATP-binding subunit,WP_015309653.1,AB0004VK48;AB0004VK49;AB0004VK4A;AB0004VK4B;AB0004VK4C;AB0004VK4D;AB0004VK4E;AB0004VK4F;AB0004VK4G;AB0004VK4H;AB0004VK4I;AB0004VK4J;AB0004VK4K;AB0004VK46;AB0004VK45;AB0004VK44;AB0004VK43;AB0004VK42;AB0004VK41;AB0004VK40;AB0004VK3Z;AB0004VK3Y;AB0004VK3X;AB0004VK3W;AB0004VK3V;AB0004VK3U;AB0004VK3T,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. JS623,main,main
AB0001CCO9,843,MAV_RS02670,GCF000014985.1,NC_008595.1,538652,541184,1,243243,CDS,,ATP-dependent Clp protease ATP-binding subunit,WP_019684762.1,AB0001CCOA;AB0001CCOB;AB0001CCOC;AB0001CCOD;AB0001CCOE;AB0001CCOF;AB0001CCOG;AB0001CCOH;AB0001CCOI;AB0001CCOJ;AB0001CCOK;AB0001CCOL;AB0001CCO8;AB0001CCO7;AB0001CCO6;AB0001CCO5;AB0001CCO4;AB0001CCO3;AB0001CCO2;AB0001CCO1;AB0001CCO0;AB0001CCNZ;AB0001CCNY;AB0001CCNX;AB0001CCNW,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium,main,main
AB0016UK9D,841,BN4366_RS20350,GCF900078775.1,NZ_LT549889.1,4273096,4275622,-1,1791,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_087027789.1,AB0016UK9E;AB0016UK9F;AB0016UK9G;AB0016UK9H;AB0016UK9I;AB0016UK9J;AB0016UK9K;AB0016UK9L;AB0016UK9M;AB0016UK9N;AB0016UK9O;AB0016UK9P;AB0016UK9Q;AB0016UK9C;AB0016UK9B;AB0016UK9A;AB0016UK99;AB0016UK98;AB0016UK97;AB0016UK96;AB0016UK95;AB0016UK94;AB0016UK93;AB0016UK92;AB0016UK91;AB0016UK90;AB0016UK8Z,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium aurum,chromosome,I
AB000ZRVYN,844,G6N51_RS16710,GCF010731655.1,NZ_AP022619.1,3587546,3590081,-1,590652,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_083174425.1,AB000ZRVYO;AB000ZRVYP;AB000ZRVYQ;AB000ZRVYR;AB000ZRVYS;AB000ZRVYT;AB000ZRVYU;AB000ZRVYV;AB000ZRVYW;AB000ZRVYX;AB000ZRVYY;AB000ZRVYZ;AB000ZRVZ0;AB000ZRVYM;AB000ZRVYL;AB000ZRVYK;AB000ZRVYJ;AB000ZRVYI;AB000ZRVYH;AB000ZRVYG;AB000ZRVYF;AB000ZRVYE;AB000ZRVYD;AB000ZRVYC;AB000ZRVYB;AB000ZRVYA,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paraseoulense,main,main
AB000ZSXQK,840,G6N11_RS17570,GCF010731835.1,NZ_AP022594.1,3551288,3553811,1,1069220,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_069393166.1,AB000ZSXQL;AB000ZSXQM;AB000ZSXQN;AB000ZSXQO;AB000ZSXQP;AB000ZSXQQ;AB000ZSXQR;AB000ZSXQS;AB000ZSXQT;AB000ZSXQU;AB000ZSXQV;AB000ZSXQW;AB000ZSXQJ;AB000ZSXQI;AB000ZSXQH;AB000ZSXQG;AB000ZSXQF;AB000ZSXQE;AB000ZSXQD;AB000ZSXQC;AB000ZSXQB;AB000ZSXQA;AB000ZSXQ9;AB000ZSXQ8,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacillus,Mycolicibacillus koreensis,main,main
AB000ZOL5I,839,G6N10_RS16040,GCF010726955.1,NZ_AP022603.1,3354214,3356734,1,1793,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_085096765.1,AB000ZOL5J;AB000ZOL5K;AB000ZOL5L;AB000ZOL5M;AB000ZOL5N;AB000ZOL5O;AB000ZOL5P;AB000ZOL5Q;AB000ZOL5R;AB000ZOL5S;AB000ZOL5T;AB000ZOL5U;AB000ZOL5H;AB000ZOL5G;AB000ZOL5F;AB000ZOL5E;AB000ZOL5D;AB000ZOL5C;AB000ZOL5B;AB000ZOL5A;AB000ZOL59;AB000ZOL58;AB000ZOL57;AB000ZOL56;AB000ZOL55,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium fallax,main,main
AB000ZSPFF,846,G6N18_RS18610,GCF010731795.1,NZ_AP022591.1,3843884,3846425,1,1249101,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_083004660.1,AB000ZSPFG;AB000ZSPFH;AB000ZSPFI;AB000ZSPFJ;AB000ZSPFK;AB000ZSPFL;AB000ZSPFM;AB000ZSPFN;AB000ZSPFO;AB000ZSPFP;AB000ZSPFQ;AB000ZSPFR;AB000ZSPFS;AB000ZSPFE;AB000ZSPFD;AB000ZSPFC;AB000ZSPFB;AB000ZSPFA;AB000ZSPF9;AB000ZSPF8;AB000ZSPF7;AB000ZSPF6;AB000ZSPF5;AB000ZSPF4;AB000ZSPF3,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium celeriflavum,main,main
