molecule;gene;target;start;end;strand
AB000ZRMMN;clpC1;T;-111327;-108804;1
AB000ZRMMN;.;F;-110065.5;-110065.5;1
AB000ZRMMN;Lsr2 family protein;F;-111889;-111529;1
AB000ZRMMN;lysS;F;-113561;-111971;1
AB000ZRMMN;ATP-binding cassette domain-containing protein;F;-115317;-113499;1
AB000ZRMMN;type III polyketide synthase;F;-116539;-115372;1
AB000ZRMMN;fatty acid desaturase;F;-118081;-116572;1
AB000ZRMMN;LppX_LprAFG lipoprotein;F;-118931;-118085;1
AB000ZRMMN;type III pantothenate kinase;F;-119870;-119039;1
AB000ZRMMN;aspartate 1-decarboxylase;F;-120292;-119869;1
AB000ZRMMN;pantoate--beta-alanine ligase;F;-121231;-120316;1
AB000ZRMMN;DUF2520 domain-containing protein;F;-122112;-121227;1
AB000ZRMMN;CbtB-domain containing protein;F;-108650;-108440;1
AB000ZRMMN;CbtA family protein;F;-108425;-107588;1
AB000ZRMMN;histidine phosphatase family protein;F;-107544;-107046;1
AB000ZRMMN;serine hydrolase;F;-106939;-105511;-1
AB000ZRMMN;antibiotic biosynthesis monooxygenase;F;-105543;-105228;-1
AB000ZRMMN;alpha/beta hydrolase;F;-105184;-104416;1
AB000ZRMMN;A/G-specific adenine glycosylase;F;-104420;-103655;-1
AB000ZRMMN;carbonic anhydrase;F;-103516;-102895;1
AB000ZRMMN;response regulator transcription factor;F;-102760;-102100;-1
AB000ZRMMN;two-component sensor histidine kinase;F;-102099;-101007;-1
AB000ZRMMN;hypothetical protein;F;-100736;-100352;1
AB000ZRMMN;MMPL family transporter;F;-100378;-97552;1
AB000BIN9E;p: MMPL family transporter;T;1374825;1377348;1
AB000BIN9E;.;F;1376086.5;1376086.5;1
AB000BIN9E;CbtB-domain containing protein;F;1377534;1377750;1
AB000BIN9E;CbtA family protein;F;1377774;1378575;1
AB000BIN9E;histidine phosphatase family protein;F;1378571;1379123;1
AB000BIN9E;serine hydrolase;F;1379106;1380729;-1
AB000BIN9E;alpha/beta hydrolase;F;1380790;1381585;1
AB000BIN9E;hypothetical protein;F;1381558;1381813;-1
AB000BIN9E;helix-turn-helix domain-containing protein;F;1381884;1382856;1
AB000BIN9E;A/G-specific adenine glycosylase;F;1382807;1383749;-1
AB000BIN9E;carbonic anhydrase;F;1383747;1384368;1
AB000BIN9E;hypothetical protein;F;1384437;1385223;1
AB000BIN9E;disA;F;1385234;1386347;-1
AB000BIN9E;radA;F;1386355;1387753;-1
AB000BIN9E;Lsr2 family protein;F;1374202;1374544;1
